20190219,XYZ,17473887,17554446,17433156,17554446,17554446,2151200,-5
20190220,XYZ,17559875,17603324,17420483,17491084,17491084,2567500,-5
20190221,XYZ,17474792,17522765,17432250,17476601,17476601,1702800,-5
20190222,XYZ,17557162,17615998,17530007,17604230,17604230,1879200,-5
20190225,XYZ,17672114,17714656,17610564,17623236,17623236,1959700,-5
20190226,XYZ,17642244,17716467,17624142,17646770,17646770,1825900,-5
20190227,XYZ,17604229,17633195,17527291,17596988,17596988,1296400,-5
20190301,XYZ,17609659,17675735,17549014,17599702,17599702,1795500,-5
20190304,XYZ,17671213,17679359,17415959,17530008,17530008,2172400,-5
20190305,XYZ,17524575,17558067,17451258,17480224,17480224,3015800,-5
20190306,XYZ,17501947,17526386,17375226,17398759,17398759,1533800,-5
20190307,XYZ,17365268,17390612,17186048,17252124,17252124,3124300,-5
20190308,XYZ,17148033,17241264,17091008,17227686,17227686,2539100,-5
20190311,XYZ,17312769,17466645,17295571,17464835,17464835,2704800,-5
20190312,XYZ,17538152,17644960,17478412,17516428,17516428,2720200,-5
20190313,XYZ,17495609,17610564,17477507,17541772,17541772,1938700,-5
20190314,XYZ,17537246,17576168,17496514,17562590,17562590,1504100,-5
20190315,XYZ,17615088,17701983,17602416,17620518,17620518,5919200,-5
20190318,XYZ,17656725,17705603,17556254,17691122,17691122,2034000,-5
20190319,XYZ,17759009,17825990,17672114,17716467,17716467,2247800,-5
20190320,XYZ,17720088,17735475,17579789,17635909,17635909,2415000,-5
20190321,XYZ,17590652,17864006,17570738,17802457,17802457,2370900,-5
20190322,XYZ,17759915,17802457,17572548,17622331,17622331,2642700,-5
20190325,XYZ,17587028,17663967,17522763,17597890,17597890,1605300,-5
20190326,XYZ,17665776,17764439,17619614,17692027,17692027,1319200,-5
20190327,XYZ,17709225,17716466,17527289,17603323,17603323,1863700,-5
20190328,XYZ,17663967,17711940,17590650,17664872,17664872,1429400,-5
20190329,XYZ,17717371,17782542,17685690,17771680,17771680,1866900,-5
20190401,XYZ,17808790,17980770,17808790,17970813,17970813,2749800,-5
20190402,XYZ,17975341,18029649,17907454,17943660,17943660,1170300,-5
20190403,XYZ,18002494,18054089,17944565,18000685,18000685,1446700,-5
20190404,XYZ,17999780,18046848,17902023,17923747,17923747,1536600,-5
20190405,XYZ,17969908,17988917,17894782,17969003,17969003,1497300,-5
20190408,XYZ,17945471,17981677,17931893,17978961,17978961,883700,-5
20190409,XYZ,17912886,17939135,17838663,17863103,17863103,1804000,-5
20190410,XYZ,17871248,17988918,17851335,17945471,17945471,1443500,-5
20190411,XYZ,18016072,18044131,17946375,18014261,18014261,1707500,-5
20190412,XYZ,18057706,18074000,18007018,18065854,18065854,1664400,-5
20190415,XYZ,18070381,18075813,17968100,18025124,18025124,2368700,-5
20190416,XYZ,18070378,18159988,18035983,18137360,18137360,5067200,-5
20190417,XYZ,17434059,17851334,17333587,17591556,17591556,11291200,-5
20190418,XYZ,17581601,17716469,17554447,17701987,17701987,3725500,-5
20190422,XYZ,17619615,17722802,17534531,17571642,17571642,3259500,-5
20190423,XYZ,17595176,17755388,17576169,17711942,17711942,3227700,-5
20190424,XYZ,17726425,17790690,17652202,17667590,17667590,1540400,-5
20190425,XYZ,17644961,17649487,17464836,17548110,17548110,1675600,-5
20190426,XYZ,17612374,17662158,17564401,17621426,17621426,1085300,-5
20190429,XYZ,17595176,17638624,17564401,17586125,17586125,1723800,-5
20190430,XYZ,17591557,17711942,17552634,17696555,17696555,3404300,-5
20190501,XYZ,17721897,17835945,17687500,17722801,17722801,1819200,-5
20190502,XYZ,17717372,17787974,17618711,17635003,17635003,2306900,-5
20190503,XYZ,17644958,17762628,17638623,17694742,17694742,1345400,-5
20190506,XYZ,17518241,17734572,17482034,17706512,17706512,1558800,-5
20190507,XYZ,17595177,17627763,17327253,17458500,17458500,3492300,-5
20190508,XYZ,17470266,17554445,17412337,17491084,17491084,2584400,-5
20190509,XYZ,17354616,17417813,17184258,17395831,17395831,2958200,-5
20190510,XYZ,17353700,17433383,17128387,17393999,17393999,2743100,-5
20190513,XYZ,17207154,17233716,16994665,17036796,17036796,3723500,-5
20190514,XYZ,17073432,17302408,17060608,17209901,17209901,2045900,-5
20190515,XYZ,17143957,17327137,17123807,17309735,17309735,1316500,-5
20190516,XYZ,17340877,17466356,17331718,17445290,17445290,1782800,-5
20190517,XYZ,17335380,17402242,17267604,17302409,17302409,1384600,-5
20190520,XYZ,17230052,17404073,17175097,17375680,17375680,2030000,-5
20190521,XYZ,17467273,17553368,17437048,17497498,17497498,1269000,-5
20190522,XYZ,17456280,17524973,17429719,17488337,17488337,615300,-5
20190523,XYZ,17376597,17376597,16947039,17125639,17125639,4108900,-5
20190524,XYZ,17230052,17295997,17052366,17115564,17115564,1361600,-5
20190528,XYZ,17101826,17148537,16931468,16948871,16948871,3674300,-5
20190529,XYZ,16906739,16932384,16752868,16878346,16878346,2444500,-5
20190530,XYZ,16882925,16903990,16808735,16867355,16867355,1507400,-5
20190531,XYZ,16763858,16763858,16618229,16631052,16631052,2304800,-5
20190603,XYZ,16641127,16774849,16637463,16748288,16748288,3032400,-5
20190604,XYZ,16866438,17157696,16823390,17153116,17153116,2679000,-5
20190605,XYZ,17216315,17237380,16949787,17043209,17043209,1926800,-5
20190606,XYZ,17107323,17149454,16989171,17110071,17110071,1063700,-5
20190607,XYZ,17132965,17339043,17109152,17209901,17209901,1318900,-5
20190610,XYZ,17307903,17396746,17264856,17340876,17340876,1676800,-5
20190611,XYZ,17394000,17498413,17369270,17451701,17451701,2172800,-5
20190612,XYZ,17415980,17450785,17310652,17352782,17352782,1020200,-5
20190613,XYZ,17376596,17481009,17372932,17434297,17434297,1720800,-5
20190614,XYZ,17404989,17445289,17312482,17378427,17378427,958800,-5
20190617,XYZ,17400410,17459027,17337212,17360110,17360110,959600,-5
20190618,XYZ,17383007,17565272,17383007,17491084,17491084,1680200,-5
20190619,XYZ,17495664,17672434,17478263,17555199,17555199,1147900,-5
20190620,XYZ,17724638,17780508,17657777,17717312,17717312,1836500,-5
20190621,XYZ,17679762,17780510,17675182,17749370,17749370,4054200,-5
20190624,XYZ,17749369,17836380,17735631,17763109,17763109,951500,-5
20190625,XYZ,17773183,17781426,17651368,17672433,17672433,1566700,-5
20190626,XYZ,17719145,17793333,17677015,17687090,17687090,1050100,-5
20190627,XYZ,17705407,17758530,17634882,17687090,17687090,915300,-5
20190628,XYZ,17691667,17743873,17624805,17630300,17630300,4919400,-5
20190702,XYZ,17799744,17862025,17774099,17842792,17842792,1175200,-5
20190703,XYZ,17888585,17989335,17862023,17963689,17963689,695900,-5
20190705,XYZ,17902324,17959111,17814398,17949036,17949036,900200,-5
20190708,XYZ,17918810,17940791,17847370,17874847,17874847,1160800,-5
20190709,XYZ,17878513,17913318,17742960,17761278,17761278,2130700,-5
20190710,XYZ,17822642,17997579,17803407,17865689,17865689,1279400,-5
20190711,XYZ,17894998,17967356,17850120,17936215,17936215,898400,-5
20190712,XYZ,17998495,18090085,17974682,18073599,18073599,1551700,-5
20190715,XYZ,18087340,18144125,18016815,18126724,18126724,1133800,-5
20190716,XYZ,18112984,18192667,18099246,18145956,18145956,2240200,-5
20190717,XYZ,18153284,18170686,18001243,18103825,18103825,4829800,-5
20190718,XYZ,18051618,18766938,18024140,18704657,18704657,11458100,-5
20190719,XYZ,18734881,18883257,18697329,18709235,18709235,6056200,-5
20190722,XYZ,18753199,18916229,18711066,18714731,18714731,2858100,-5
20190723,XYZ,18790753,18804491,18590170,18773351,18773351,2507700,-5
20190724,XYZ,18749533,18871348,18665270,18741290,18741290,1717900,-5
20190725,XYZ,18722060,18795331,18611235,18774266,18774266,1867600,-5
20190726,XYZ,18830135,18867687,18747704,18863107,18863107,1669800,-5
20190729,XYZ,18840209,18874097,18767853,18819144,18819144,841000,-5
20190730,XYZ,18738544,18775180,18667104,18717479,18717479,1398200,-5
20190731,XYZ,18711068,18755031,18407904,18577347,18577347,2488400,-5
20190801,XYZ,18637795,18996830,18601159,18767854,18767854,5109500,-5
20190802,XYZ,18649702,19008736,18334631,18486671,18486671,6867200,-5
20190805,XYZ,18278763,18289755,17744791,17892252,17892252,5880400,-5
20190806,XYZ,18008571,18048871,17759445,17889503,17889503,3836200,-5
20190807,XYZ,17707238,17784174,17493833,17741126,17741126,4697400,-5
20190808,XYZ,17830089,18012648,17766146,17982994,17982994,4026600,-5
20190809,XYZ,17906076,17909782,17542812,17615094,17615094,4010100,-5
